F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,T
240,0,0,0,-32,0,-32,-32,-296,0,0,0,88,0,152,152,436,192,464,432,496,496,544,440,342,368,296,224,150,80,14,-6,1,509
1264,0,0,0,1632,0,1632,1632,272,0,1536,1536,256,1536,576,-192,268,960,160,0,336,-192,-144,160,132,-64,8,8,-60,8,20,0,1,592
688,0,0,0,864,0,864,864,616,0,1152,1152,520,1152,840,264,520,960,560,400,496,208,64,168,200,80,64,40,-8,-8,0,0,1,513
16,0,0,0,64,0,64,64,88,0,192,192,136,192,264,168,196,384,272,208,280,208,136,192,190,80,88,64,-2,16,6,-6,1,509
272,0,0,0,192,0,192,192,208,0,448,448,384,448,512,288,288,384,416,352,368,352,240,224,210,128,96,64,18,0,2,2,1,510
48,0,0,0,192,0,192,192,224,0,576,576,288,576,672,384,480,1152,576,384,704,384,192,480,474,0,128,96,-102,32,42,-6,1,509
3088,0,0,0,2624,0,2624,2624,232,0,1984,1984,808,1984,1192,200,664,1152,688,496,624,240,96,200,172,80,64,40,-8,-8,0,0,1,512
240,0,0,0,-32,0,-32,-32,152,0,0,0,168,0,232,232,196,192,272,240,248,304,200,192,190,80,88,64,-2,16,6,-6,1,509
1712,0,0,0,-544,0,-544,-544,824,0,128,128,136,128,200,136,112,192,16,-16,152,48,104,224,188,80,64,40,-8,-8,0,0,1,511
240,0,0,0,32,0,32,32,16,0,0,0,-32,0,-96,-96,-128,-192,-160,-128,-40,64,184,264,324,320,272,208,144,80,32,8,1,81
1296,0,0,0,1728,0,1728,1728,648,0,1728,1728,840,1728,1224,360,520,1152,688,496,592,240,64,168,184,80,64,40,-8,-8,0,0,1,170
1296,0,0,0,1728,0,1728,1728,1512,0,1728,1728,1704,1728,2088,1224,1024,1152,1264,1072,1056,816,592,408,328,272,240,184,120,72,32,8,1,170
48,0,0,0,192,0,192,192,368,0,576,576,720,576,1104,816,908,1152,1440,1248,1272,1248,1048,904,916,864,696,520,340,168,52,8,1,592
368,0,0,0,224,0,224,224,-32,0,256,256,-32,256,32,-96,84,192,-64,-96,104,-32,8,168,120,-64,8,8,-60,8,20,0,1,591
880,0,0,0,928,0,928,928,496,0,768,768,448,768,640,256,300,576,224,128,336,64,48,192,132,-64,8,8,-60,8,20,0,1,592
688,0,0,0,864,0,864,864,864,0,1152,1152,1024,1152,1344,768,592,960,832,672,640,480,224,192,210,128,96,64,18,0,2,2,1,509
528,0,0,0,448,0,448,448,648,0,448,448,456,448,584,360,384,384,496,432,432,432,352,296,300,272,240,184,120,72,32,8,1,512
368,0,0,0,800,0,800,800,1064,0,1792,1792,1272,1792,1720,824,1012,1344,1520,1296,1056,976,528,280,358,368,296,224,150,80,14,-6,1,510
528,0,0,0,448,0,448,448,-8,0,448,448,104,448,232,8,264,384,272,208,288,208,144,200,172,80,64,40,-8,-8,0,0,1,0
