F0,F1,F2,F3,F4,F5,F6,F7,F8,T
2,0,0,0,12,0,0,8,1,27
10,0,0,0,0,0,24,0,1,17
2,16,0,8,14,8,0,8,1,35
14,0,0,8,6,0,0,0,1,35
336,0,0,0,48,0,0,0,1,17
2,0,0,0,8,0,12,0,1,28
14,0,20,0,0,0,0,0,1,44
6,0,0,0,0,0,0,4,1,41
14,0,0,0,6,0,4,0,1,35
14,16,0,8,6,0,0,0,1,35
2,0,0,0,20,8,12,0,1,15
2,8,0,0,14,0,12,0,1,35
14,0,16,8,6,0,8,0,1,35
2,0,0,0,0,0,4,4,1,41
48,0,0,0,8,0,24,0,1,44
30,16,24,0,0,16,0,8,1,27
30,0,0,0,6,0,0,8,1,35
10,0,0,0,6,0,0,0,1,17
6,0,0,0,0,16,0,0,1,15
10,0,0,0,12,0,4,0,1,35
18,16,8,0,16,0,0,0,1,6
6,0,4,0,4,0,0,0,1,44
2,0,20,0,10,0,0,0,1,21
18,0,8,16,0,0,0,8,1,35
50,0,0,0,12,0,0,0,1,16
60,0,48,8,24,0,0,12,1,27
18,0,0,16,0,0,0,8,1,35
6,8,4,8,2,0,0,8,1,17
22,0,0,0,20,0,0,8,1,35
2,16,8,0,0,0,20,0,1,28
58,0,16,0,12,0,8,0,1,7
22,0,0,0,8,0,0,8,1,30
22,0,0,0,0,0,12,0,1,35
12,0,12,0,2,4,2,0,1,20
8,0,0,16,12,0,0,0,1,35
14,0,8,0,16,0,0,8,1,27
2,0,0,8,6,0,0,0,1,19
16,0,0,0,16,0,0,0,1,9
14,0,0,0,16,0,0,8,1,30
120,0,0,0,0,0,28,0,1,44
18,0,0,0,12,0,12,0,1,35
4,0,20,0,10,0,2,4,1,21
2,0,0,0,14,0,0,0,1,17
656,0,0,0,72,0,0,0,1,11
14,0,0,0,0,8,4,8,1,6
2,0,8,0,14,0,0,0,1,35
10,8,8,8,0,0,0,0,1,29
26,0,8,0,0,0,4,0,1,28
52,0,0,0,0,0,28,0,1,38
22,0,8,0,0,8,0,0,1,29
18,0,4,0,4,0,0,0,1,44
14,16,0,0,18,8,0,8,1,35
14,0,8,0,8,0,0,0,1,27
52,0,56,0,0,0,0,0,1,38
9,0,12,0,8,0,12,0,1,11
30,0,0,0,0,8,0,0,1,20
2,16,0,8,2,0,4,0,1,35
7,0,4,0,26,0,12,0,1,27
26,0,20,0,0,0,0,0,1,44
14,0,0,0,0,0,14,4,1,35
26,0,0,0,0,0,20,0,1,28
22,0,8,0,0,0,0,0,1,27
14,0,0,16,12,16,0,8,1,35
26,16,0,8,6,0,0,0,1,19
30,0,24,16,20,0,0,0,1,35
54,0,24,0,0,0,0,0,1,27
10,0,0,0,0,0,0,8,1,35
30,0,0,0,0,0,0,0,1,8
3,0,12,0,18,0,20,0,1,35
26,16,0,0,6,0,4,0,1,15
26,0,0,0,12,8,0,0,1,29
24,0,0,32,0,0,8,0,1,1
26,0,0,8,2,0,0,0,1,35
2,0,14,0,0,0,0,0,1,44
10,0,12,0,10,0,0,4,1,18
88,0,48,0,0,0,0,8,1,15
56,0,0,0,60,0,0,8,1,35
26,0,0,0,2,0,4,0,1,35
26,0,4,0,12,0,0,0,1,44
12,0,0,0,0,0,6,0,1,44
22,0,0,0,2,8,0,0,1,15
26,0,0,0,12,0,0,0,1,16
10,8,0,0,2,0,4,0,1,35
2,0,0,4,4,0,0,0,1,36
6,0,0,0,4,0,24,8,1,35
2,0,4,0,0,0,0,4,1,23
22,0,0,0,2,0,0,0,1,26
14,0,0,0,10,8,0,0,1,6
6,8,0,0,4,0,4,0,1,33
112,0,0,0,4,0,0,0,1,15
6,0,0,0,22,8,12,8,1,35
12,0,8,0,0,0,0,0,1,38
16,0,8,0,0,0,0,2,1,7
2,8,12,0,4,8,12,0,1,44
30,0,0,0,0,0,12,0,1,35
28,0,0,0,0,0,12,0,1,38
12,24,0,0,0,4,0,0,1,42
496,0,0,0,0,0,24,0,1,27
14,0,0,0,10,0,0,0,1,26
2,0,16,16,8,0,0,16,1,17
2,0,0,0,14,0,10,0,1,38
6,0,0,8,2,8,0,0,1,35
18,8,12,0,0,0,8,0,1,44
2,0,16,0,8,0,8,0,1,17
42,0,0,16,4,0,0,0,1,7
58,0,0,0,0,16,24,0,1,17
20,0,12,0,10,0,0,0,1,28
14,0,0,8,0,0,8,0,1,41
14,0,0,4,0,4,2,0,1,17
28,0,0,0,2,0,2,0,1,30
12,0,0,0,2,8,0,0,1,28
6,0,0,8,2,0,0,0,1,29
144,0,0,0,72,0,0,0,1,11
26,0,12,0,0,0,0,0,1,44
10,0,0,0,0,8,8,0,1,29
20,0,0,0,0,0,28,0,1,38
22,0,0,0,0,0,28,8,1,35
44,0,0,8,0,0,0,4,1,31
22,0,8,0,0,0,8,8,1,27
18,0,0,0,28,0,20,0,1,35
240,0,0,0,0,64,56,0,1,27
2,0,0,0,2,8,0,0,1,35
4,16,0,0,2,0,0,0,1,2
8,0,0,0,4,0,4,0,1,21
6,0,2,0,0,0,0,0,1,44
12,0,0,0,2,0,0,0,1,15
26,0,0,8,14,0,0,0,1,19
10,0,0,0,0,0,8,0,1,17
28,0,20,0,0,0,0,0,1,44
14,0,0,0,2,0,10,0,1,38
22,16,0,0,0,0,4,8,1,35
2,0,0,0,2,0,0,0,1,17
2,0,0,0,10,0,4,0,1,35
18,0,0,0,4,0,4,0,1,35
50,0,0,0,0,0,0,0,1,6
48,0,0,0,0,0,0,0,1,15
2,0,0,0,2,4,0,0,1,11
26,0,0,0,30,0,0,0,1,17
26,0,8,0,4,0,0,0,1,28
40,0,0,0,52,0,0,8,1,8
14,0,6,0,0,0,0,0,1,44
6,0,8,8,0,0,0,0,1,41
30,0,0,16,0,0,4,8,1,35
10,0,10,0,0,0,0,0,1,44
34,0,0,0,4,0,0,0,1,16
6,0,0,0,8,0,0,8,1,30
34,0,0,0,12,0,0,0,1,16
6,0,8,16,2,0,8,0,1,35
2,0,8,0,0,8,0,0,1,19
100,0,0,0,44,0,0,0,1,4
6,0,0,0,0,8,2,0,1,35
2,0,8,8,0,0,4,0,1,10
22,0,12,0,12,0,0,0,1,44
2,8,12,0,0,0,0,0,1,44
2,0,12,0,2,0,0,0,1,21
2,0,8,0,0,0,0,0,1,35
58,0,0,0,0,0,8,0,1,17
196,0,0,0,44,0,16,0,1,29
6,0,12,8,2,0,4,0,1,31
2,0,0,0,0,0,2,2,1,25
6,0,0,0,0,0,2,0,1,35
12,0,4,0,10,0,0,0,1,30
26,0,0,0,6,0,0,0,1,17
6,0,0,0,28,0,0,0,1,26
10,0,0,0,10,0,0,8,1,35
41,0,108,0,54,0,12,0,1,29
2,8,12,0,0,8,0,0,1,44
80,0,0,0,0,0,0,0,1,15
10,8,0,0,6,0,0,0,1,35
4,0,0,0,0,0,14,0,1,24
2,0,16,0,4,0,24,0,1,1
2,0,0,8,12,0,4,0,1,18
2,8,12,0,4,0,12,0,1,44
4,16,12,0,10,0,14,0,1,9
28,0,12,0,0,0,0,0,1,44
144,0,0,0,0,0,40,0,1,29
22,0,8,8,8,0,4,8,1,18
50,0,16,0,8,0,8,0,1,17
28,0,0,8,6,0,12,0,1,30
6,16,0,0,28,0,28,0,1,30
52,16,0,16,2,0,0,0,1,1
10,0,4,0,0,0,2,0,1,35
11,0,0,0,10,0,8,0,1,15
2,0,0,0,12,0,12,0,1,35
14,0,0,0,4,8,8,0,1,19
26,0,4,0,14,0,12,0,1,21
20,8,4,8,6,0,6,0,1,4
4,0,20,0,0,0,2,0,1,29
30,0,8,0,12,0,24,0,1,35
14,0,0,0,4,0,8,0,1,8
7,0,8,0,30,0,24,0,1,26
6,16,24,0,0,16,0,0,1,7
196,0,0,0,52,0,0,0,1,11
18,0,0,0,8,8,0,0,1,29
54,0,0,0,4,0,0,0,1,26
2,0,0,0,28,0,28,0,1,35
30,0,0,0,12,0,0,8,1,35
2,0,6,0,0,0,0,0,1,44
22,0,24,8,14,8,0,0,1,29
4,0,0,8,6,8,0,0,1,30
52,0,0,0,6,0,4,0,1,28
18,0,0,0,8,0,0,0,1,15
22,0,0,0,4,0,12,0,1,30
6,8,0,0,14,0,0,0,1,35
10,0,8,8,0,0,4,8,1,10
6,8,4,0,14,0,0,0,1,2
10,0,12,0,2,0,0,0,1,21
10,8,12,0,0,0,0,0,1,44
14,0,0,0,0,0,12,0,1,35
4,0,0,8,6,0,0,0,1,30
10,0,2,0,0,0,0,0,1,44
6,0,0,0,8,0,20,0,1,35
8,0,16,0,36,0,0,0,1,35
4,0,16,0,0,0,0,0,1,19
24,0,8,8,0,0,0,0,1,17
2,0,16,0,0,8,8,8,1,29
20,0,0,0,0,0,6,0,1,23
52,16,0,0,2,0,0,0,1,7
14,0,0,16,2,8,8,0,1,15
16,0,0,0,8,0,2,0,1,2
6,4,0,0,0,0,2,0,1,17
84,0,0,0,4,0,0,0,1,8
62,0,8,0,8,0,0,0,1,27
22,0,0,0,0,0,4,8,1,35
11,0,0,0,26,0,8,0,1,15
46,16,8,0,24,0,0,0,1,1
2,0,4,4,0,0,0,0,1,36
18,0,8,0,0,0,0,8,1,35
20,0,8,0,0,0,0,0,1,38
38,0,8,0,0,0,0,0,1,27
2,0,4,0,0,0,2,0,1,35
44,0,0,0,0,0,24,0,1,30
14,0,8,8,0,8,0,0,1,41
16,0,0,0,0,0,0,8,1,33
18,0,0,0,0,0,20,0,1,28
36,0,0,0,0,0,0,0,1,11
6,0,0,16,4,0,0,0,1,8
19,0,4,0,22,0,28,0,1,35
30,0,4,0,6,0,0,0,1,31
11,0,0,0,18,0,24,0,1,6
28,0,4,0,6,0,0,0,1,30
15,0,8,0,30,0,24,0,1,26
14,0,8,8,0,0,0,0,1,41
80,0,0,0,0,0,48,0,1,17
10,0,0,0,0,0,6,0,1,35
26,0,0,0,0,8,8,0,1,29
2,16,24,16,0,8,12,0,1,26
6,8,0,8,2,0,0,0,1,35
2,0,0,8,8,8,12,8,1,10
14,0,8,0,0,0,4,0,1,35
30,0,16,0,18,0,12,0,1,15
18,0,8,0,12,0,0,0,1,28
2,8,12,8,2,0,0,4,1,19
30,0,0,0,10,0,12,0,1,15
18,0,4,0,12,0,0,0,1,44
18,0,0,0,12,0,0,0,1,16
20,0,0,0,2,0,0,0,1,16
72,0,0,0,0,0,4,0,1,44
28,0,0,0,2,0,0,4,1,28
14,16,8,0,0,0,4,0,1,35
14,0,0,0,0,0,2,4,1,35
12,8,0,0,2,0,0,0,1,14
26,0,0,0,0,0,8,0,1,17
2,0,0,0,6,0,14,0,1,38
14,0,8,0,0,16,24,8,1,27
30,0,8,0,0,0,0,8,1,27
10,0,8,0,0,0,0,0,1,35
10,0,12,0,12,0,0,0,1,44
2,0,0,0,0,16,24,0,1,17
30,0,0,0,4,0,12,0,1,30
2,8,4,0,14,0,0,8,1,15
2,8,0,0,2,0,0,0,1,35
6,0,16,0,0,0,8,0,1,26
10,0,24,0,12,0,0,0,1,28
12,0,0,0,0,0,12,0,1,38
121,0,44,0,6,0,108,0,1,29
14,0,0,8,2,0,0,0,1,29
6,16,28,8,2,8,0,0,1,35
4,0,0,0,2,0,8,4,1,11
10,0,0,0,12,0,14,0,1,35
100,0,0,0,0,0,8,0,1,18
120,0,0,0,0,0,8,8,1,29
6,8,8,8,0,0,0,0,1,29
6,0,0,8,0,0,8,0,1,41
40,0,0,0,0,0,6,0,1,44
10,0,0,0,2,8,0,0,1,35
24,0,0,0,0,16,0,8,1,20
144,0,0,0,32,0,0,0,1,11
8,0,0,0,0,0,14,0,1,44
2,16,28,0,2,0,0,0,1,21
10,0,0,0,2,4,0,0,1,11
2,0,12,0,14,0,0,0,1,35
2,0,0,0,0,8,8,0,1,29
18,0,8,0,0,0,8,0,1,35
116,0,16,0,4,0,0,0,1,40
6,8,4,0,10,0,4,0,1,11
400,0,0,0,56,0,0,0,1,9
2,0,28,0,14,0,0,0,1,35
2,16,4,8,2,0,4,8,1,35
16,0,0,0,0,0,8,0,1,29
14,0,0,0,6,0,10,0,1,38
