F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,T
3,0,-9,-12,0,9,0,9,-9,0,-9,-9,1,116
12,-9,9,0,0,9,12,0,0,-12,12,9,1,121
-18,-27,-27,9,0,-36,6,18,9,12,9,33,1,70
6,0,-9,3,9,0,-12,-9,0,12,-12,-9,1,167
18,27,0,-36,0,-27,30,-9,-36,-30,15,-39,1,73
9,-27,27,-27,0,36,-24,36,-18,-36,-36,-21,1,174
-81,0,0,0,-81,-81,108,81,-27,-93,9,-93,1,173
-9,0,0,0,0,0,-12,-9,-9,-12,-9,-6,1,215
-3,0,0,-3,0,3,-3,3,3,-3,3,0,1,212
3,0,0,-3,0,0,3,-3,0,-3,0,0,1,84
3,9,-9,3,-9,-9,0,-9,0,6,9,0,1,42
-36,-27,-27,-18,27,-36,-6,0,-9,-30,36,-18,1,215
12,0,-9,9,-9,0,-3,-9,0,-9,-9,9,1,116
3,-9,-9,-12,9,0,9,9,-9,-12,9,0,1,42
3,0,0,0,0,3,0,0,0,0,0,0,1,84
18,27,0,-36,-27,27,-15,0,-9,-36,-27,27,1,170
-12,0,-9,12,0,0,-9,9,-6,6,-3,12,1,167
-12,0,-9,6,9,0,-3,0,0,12,6,-12,1,121
-9,27,0,-18,-27,-27,3,18,-18,-18,9,-27,1,11
12,-9,-9,6,9,9,-12,-9,-9,-9,-9,6,1,212
3,-9,0,0,9,0,-9,-9,0,-3,9,9,1,167
9,0,0,0,-9,9,-9,0,0,-6,0,12,1,18
-3,0,0,-3,3,3,-3,3,0,-3,3,0,1,120
-18,-27,0,-27,9,27,12,-18,36,36,15,0,1,18
-18,27,27,-27,27,27,-36,18,-36,-18,9,36,1,130
-12,-9,-9,9,9,-9,0,0,0,3,-6,6,1,169
36,27,-27,9,27,27,33,9,18,-15,-36,9,1,70
-3,0,0,-3,0,0,0,0,3,3,0,0,1,14
-36,27,27,-36,27,27,-12,18,-18,39,-9,36,1,119
-81,0,-81,-108,0,108,63,27,72,120,-63,-75,1,173
12,0,9,12,9,-9,12,0,-9,6,-9,-9,1,167
6,-9,0,12,9,9,6,9,0,-6,0,9,1,169
-162,0,243,297,-243,-324,117,-243,189,-129,81,198,1,170
-9,0,0,0,9,0,3,0,-9,0,3,0,1,19
6,9,0,-3,-9,-9,-9,-9,-9,6,-12,6,1,167
9,0,0,0,0,-9,-9,-9,0,9,3,-6,1,130
-3,0,0,12,0,0,6,-9,0,-9,0,-9,1,120
18,0,0,18,0,9,30,18,-36,21,-36,-15,1,215
-81,0,81,27,-81,-108,0,-108,-18,9,81,-111,1,131
-12,-9,-9,-6,0,0,-9,9,0,12,-9,12,1,212
18,27,27,-27,-27,27,24,-18,-36,3,-36,-27,1,170
9,108,27,-9,81,27,-120,-72,90,78,-90,-81,1,18
6,9,-9,9,0,-9,12,9,0,0,-6,-3,1,169
-324,0,81,351,-162,-135,171,-27,216,276,45,114,1,131
18,0,0,0,0,36,3,0,0,0,18,3,1,215
-18,-27,27,36,27,-36,-18,9,27,36,27,-24,1,34
12,9,-9,-9,-9,0,-9,9,9,-6,9,0,1,167
12,0,0,-12,9,0,12,-9,-3,-9,-3,9,1,121
3,0,0,-3,0,0,0,0,0,-3,-3,3,1,118
-162,243,0,-189,81,81,-99,351,-189,87,108,306,1,170
-18,0,0,-27,-27,27,0,18,18,21,-27,18,1,18
-3,9,9,12,-9,9,-6,0,-9,-3,0,9,1,38
-6,-9,-9,-12,0,0,0,9,0,6,-9,0,1,42
3,0,0,-3,0,0,3,0,0,3,0,-3,1,84
-3,0,0,-3,0,0,-3,0,0,0,0,-3,1,212
3,-9,0,-9,9,9,-3,0,-9,-3,-9,6,1,84
3,-9,9,-9,-9,0,-9,9,0,-6,0,0,1,167
9,0,9,9,9,9,-6,9,-3,6,-6,6,1,40
9,0,0,9,-9,-9,-9,9,-9,9,-9,9,1,70
-6,-9,9,6,0,9,-6,0,9,-12,9,-9,1,167
3,9,-9,-9,0,0,3,0,0,-3,6,-12,1,169
36,0,-27,-9,0,-27,33,0,-36,15,0,27,1,70
3,9,-9,-12,9,9,3,-9,9,0,-9,-9,1,167
-9,0,0,9,-9,0,12,0,0,12,-6,-9,1,170
-36,-27,-27,27,27,9,-33,36,-18,33,30,24,1,72
-3,0,0,0,0,0,-3,3,-3,0,-3,-3,1,84
-18,27,27,27,27,-27,-36,0,18,21,-9,30,1,47
-3,0,0,0,0,0,3,0,0,3,3,0,1,120
-162,0,243,297,162,-81,-216,108,45,-114,-261,96,1,72
9,0,-27,-27,0,27,36,-27,-18,18,-27,36,1,16
-12,-9,-9,12,-9,9,9,-9,9,-9,6,0,1,167
-9,0,0,9,0,0,-6,0,9,12,3,12,1,19
12,0,0,12,-9,-9,-6,9,0,-3,-12,9,1,169
-6,-9,-9,-3,0,-9,9,9,-9,12,-9,0,1,167
12,9,9,-12,9,9,9,-9,-9,-12,0,-12,1,212
36,27,0,36,0,27,-9,-36,-9,3,-27,27,1,18
-3,0,0,0,-3,0,-3,3,-3,-3,0,-3,1,42
12,0,-9,12,9,0,-12,9,9,0,9,-9,1,167
-6,0,0,0,0,0,9,0,9,-9,9,9,1,42
-3,0,0,3,0,0,-3,3,-3,0,-3,-3,1,84
9,0,0,0,0,9,9,-9,0,-6,9,-3,1,34
-12,0,-9,0,-9,0,12,9,0,-9,6,-9,1,35
3,0,0,0,0,0,3,0,-3,3,3,3,1,167
12,0,0,-12,-9,0,12,-9,0,12,0,-9,1,167
6,-9,0,-6,-9,0,6,-9,9,3,9,-9,1,169
-18,0,0,-36,0,36,-36,18,27,-12,39,30,1,18
-12,-9,0,6,0,-9,-9,0,9,0,-9,6,1,212
3,-9,9,6,9,-9,0,-9,-9,0,12,-9,1,167
36,27,-27,-27,0,-27,-9,0,-36,24,0,36,1,130
-3,-9,0,-3,0,-9,6,-9,9,3,-9,-9,1,38
-81,0,-81,54,81,108,72,-54,-72,111,108,48,1,173
36,-27,0,18,-27,9,-18,-27,27,39,18,-39,1,172
6,-9,0,-9,-9,9,-9,0,0,6,-12,0,1,116
-12,0,9,6,0,0,-6,9,0,0,12,-3,1,120
-3,9,0,3,-9,9,-12,9,0,-6,-12,-6,1,121
18,0,-27,-27,0,0,12,0,-18,-9,-27,0,1,11
-6,0,9,-6,0,-9,12,0,0,-3,12,-12,1,35
36,0,0,-9,0,-36,6,27,18,24,9,15,1,34
9,0,9,-9,0,0,6,0,12,-12,3,-12,1,40
63,-108,0,9,0,-54,-33,-18,-27,6,0,72,1,130
