F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,T
6,0,9,21,0,0,0,0,0,1,20
42,0,54,0,0,0,0,0,0,1,10
3,0,0,6,6,0,0,0,0,1,11
6,0,0,18,18,0,9,0,0,1,12
3,3,0,0,0,0,0,0,0,1,19
15,0,0,0,18,0,9,0,0,1,12
15,0,0,0,0,9,0,0,0,1,18
3,0,0,18,18,0,0,0,0,1,18
3,0,0,12,18,0,0,0,0,1,21
6,0,0,36,0,0,0,0,0,1,21
69,0,0,0,0,0,18,0,9,1,20
6,0,18,15,9,0,0,0,0,1,20
3,0,0,9,0,0,0,0,9,1,24
27,0,0,18,0,0,0,0,0,1,13
3,0,0,0,0,0,18,0,18,1,20
6,0,0,0,0,0,0,0,18,1,24
6,0,0,0,18,18,0,0,0,1,12
27,0,0,0,0,0,6,0,6,1,13
6,0,0,6,0,0,0,3,3,1,4
54,0,0,0,0,0,3,3,0,1,22
48,0,0,18,0,0,0,18,0,1,24
48,27,0,0,0,0,0,0,18,1,20
6,0,0,0,18,9,18,0,0,1,12
6,9,0,24,0,0,0,0,0,1,10
3,0,0,0,0,0,3,18,18,1,24
27,0,54,0,0,0,6,0,0,1,22
12,0,9,0,0,0,0,0,0,1,19
15,0,27,0,0,0,0,0,9,1,20
6,0,9,12,18,0,0,0,0,1,20
6,0,0,0,0,0,3,0,18,1,22
3,0,0,0,0,0,0,18,0,1,24
3,18,18,21,0,0,0,0,0,1,24
3,0,0,12,0,0,6,0,0,1,21
3,0,0,72,0,0,0,0,0,1,21
3,0,0,3,0,0,0,6,6,1,4
6,0,0,0,0,0,6,3,0,1,19
3,0,0,12,0,0,3,0,0,1,21
3,0,18,21,0,0,0,0,0,1,12
6,0,0,9,0,9,15,0,18,1,20
12,0,0,0,0,18,15,9,9,1,6
6,0,0,0,0,0,3,3,0,1,19
3,0,18,21,0,0,3,0,0,1,20
66,0,0,0,0,0,6,0,18,1,22
3,0,0,0,18,9,0,0,0,1,18
21,0,0,0,0,0,0,0,18,1,20
30,54,0,0,0,0,0,0,18,1,20
3,0,0,3,0,0,15,0,0,1,21
6,0,0,6,0,0,6,0,0,1,24
6,0,18,15,0,0,0,0,0,1,20
6,27,0,0,0,0,0,18,18,1,24
6,9,0,0,0,0,6,0,0,1,11
3,9,0,18,0,0,6,0,0,1,17
3,0,0,0,0,0,12,0,18,1,24
3,0,0,3,0,0,0,0,3,1,10
39,0,0,18,0,18,6,0,9,1,17
6,9,0,0,0,0,3,0,0,1,17
6,0,0,6,0,0,0,0,0,1,24
6,9,0,0,0,0,0,0,0,1,14
6,0,0,0,0,6,0,0,0,1,19
33,0,0,0,0,0,0,18,0,1,24
6,0,0,0,0,0,0,9,9,1,21
3,27,0,0,0,0,0,0,0,1,21
3,0,0,18,0,18,24,18,0,1,1
21,0,27,0,0,0,0,0,18,1,20
6,0,9,6,18,18,0,0,0,1,18
6,0,27,9,0,0,0,0,18,1,24
6,0,0,9,18,9,0,0,0,1,12
3,27,0,0,0,0,9,0,0,1,21
6,0,0,3,0,0,0,6,3,1,4
3,0,0,0,0,9,21,0,9,1,20
6,0,9,0,9,0,3,0,0,1,4
3,18,0,0,0,0,0,0,0,1,16
3,18,0,0,0,0,3,0,0,1,20
66,0,0,0,0,0,12,0,0,1,24
48,54,0,0,0,0,0,0,0,1,21
6,54,0,0,0,0,0,9,0,1,21
6,0,9,9,0,0,6,0,0,1,18
6,27,0,9,0,0,9,0,9,1,20
54,0,0,45,0,0,0,9,0,1,4
3,18,0,0,0,0,6,0,0,1,13
6,0,0,0,0,0,9,0,18,1,24
6,0,0,0,18,0,9,0,0,1,12
6,0,0,0,0,0,12,18,0,1,22
3,0,0,0,9,0,9,0,0,1,12
3,0,0,0,9,0,6,0,0,1,13
12,0,18,24,0,0,0,0,0,1,18
6,0,0,0,0,18,21,18,0,1,17
6,0,0,0,18,0,6,0,0,1,18
6,0,0,0,18,0,0,0,0,1,12
6,0,0,0,18,0,3,0,0,1,13
3,0,0,0,9,0,3,0,0,1,18
66,0,0,0,0,0,0,0,18,1,20
3,0,0,0,9,0,0,0,0,1,12
27,0,0,45,0,0,0,0,3,1,17
51,27,0,0,0,0,18,0,9,1,20
3,0,0,9,0,0,6,0,0,1,22
6,54,0,0,0,0,0,0,0,1,21
3,18,0,6,0,0,0,0,3,1,10
48,0,0,0,0,0,0,0,0,1,10
3,0,0,9,0,0,0,0,0,1,21
3,0,0,3,3,0,0,0,0,1,15
6,18,9,15,0,0,0,0,0,1,24
3,0,0,0,0,0,0,9,18,1,21
39,0,0,0,0,0,18,0,0,1,10
57,0,54,45,0,0,0,0,18,1,20
21,54,0,9,0,0,0,0,0,1,21
6,0,0,3,0,0,0,0,6,1,10
3,0,0,0,9,18,0,0,0,1,12
